Name 1,Name 2
耶穌,耶稣
溫家寶,温家宝
喬治·W·布希,乔治·沃克·布什
诺罗敦·西哈努克,諾羅敦·西哈努克
周恩來,周恩来
托爾金,J·R·R·托尔金
玛哈特玛·甘地,圣雄甘地
胡亥,秦二世
汉高祖,刘邦
儒略·恺撒,尤利烏斯·凱撒
成龙,成龍
达·芬奇,列奥纳多·达·芬奇
努·纳扎尔巴耶夫,努尔苏丹·纳扎尔巴耶夫
索妮娅·甘地,索尼娅·甘地
索妮亚·甘地,索尼娅·甘地
江澤民,江泽民
港督,香港總督
李世民,唐太宗
宋慶齡,宋庆龄
華佗,华佗
董赵洪娉,董趙洪娉
拿破侖,拿破仑一世
林肯,亚伯拉罕·林肯
十七史百將傳,十七史百将传
长春真人,丘处机
孫武,孙武
蘇格拉底,苏格拉底
阿歷山大大帝,亚历山大大帝
亞歷山大大帝,亚历山大大帝
比爾·蓋茨,比尔·盖茨
馬丁·路德·金,马丁·路德·金
墨索里尼,贝尼托·墨索里尼
本尼托·墨索里尼,贝尼托·墨索里尼
耶蘇,耶稣
伏羲氏,伏羲
贝隆夫人,伊娃·裴隆
女人,女性
郑成功,鄭成功
拿破仓·波拿巴,拿破仑一世
尉迟敬德,尉迟恭
奧托·馮·俾斯麥,奥托·冯·俾斯麦
凱撒,尤利烏斯·凱撒
曼德拉,纳尔逊·曼德拉
川岛芳子,川島芳子
唐僧,唐三藏
李柱铭,李柱銘
鈴木善幸,铃木善幸
小泉純一郎,小泉纯一郎
宋美龄,宋美齡
胡錦濤,胡锦涛
帝尧,尧
介之推,介子推
漢高帝,刘邦
位斯普廷,格里高利·叶菲莫维奇·拉斯普京
拉斯普京,格里高利·叶菲莫维奇·拉斯普京
李鸿章,李鴻章
梁啟超,梁启超
清世祖,顺治帝
趙紫陽,赵紫阳
藤本弘,藤子·F·不二雄
诗圣,杜甫
诗佛,王维
华特迪士尼,華特·迪士尼
沃尔特迪斯尼,華特·迪士尼
华特·迪士尼,華特·迪士尼
仲由,子路
沃特迪斯尼,華特·迪士尼
圣德太子,聖德太子
中臣鎌足,藤原鎌足
溥儀,溥仪
小淵惠三,小渊惠三
田中角榮,田中角荣
小布希,乔治·沃克·布什
李柱鉻,李柱銘
蘇軾,苏轼
凯文·科斯纳,凯文·科斯特纳
卜商,子夏
堯,尧
司徒华,司徒華
孫文,孫中山
達文西,列奥纳多·达·芬奇
穆圣,穆罕默德
愛新覺羅溥儀,溥仪
富兰克林·罗斯福,富兰克林·德拉诺·罗斯福
柴契爾,玛格丽特·撒切尔
柴契爾夫人,玛格丽特·撒切尔
尼祿,尼禄
马基雅维利,尼可罗·马基亚维利
马基亚维利,尼可罗·马基亚维利
吉備真備,吉备真备
梭伦改革,梭伦
華國鋒,华国锋
弗朗西斯·培根,弗兰西斯·培根
捷古華拉,切·格瓦拉
诸葛孔明,诸葛亮
太阴娘娘,嫦娥
太阴星君,嫦娥
祖天师,张道陵
元顺帝,元順帝
樂羊,乐羊
喬治·華盛頓,乔治·华盛顿
吳作棟,吴作栋
李顯龍,李显龙
英國伊莉莎白二世,伊丽莎白二世
閻錫山,阎锡山
尼古拉·马基雅维利,尼可罗·马基亚维利
陳港生,成龍
神農,神农
拿破倫,拿破仑一世
温斯顿·邱吉尔,温斯顿·丘吉尔
光緒皇帝,光绪帝
張道陵,张道陵
罗伯斯比尔,马克西米连·罗伯斯庇尔
四人幫,四人帮
北條司,北条司
黃帝,黄帝
贾宝玉,賈寶玉
薛宝钗,薛寶釵
袭人,襲人
小布殊,乔治·沃克·布什
邱吉爾,温斯顿·丘吉尔
圣女贞德,聖女貞德
聖雄甘地,圣雄甘地
胡安·卡洛斯,胡安·卡洛斯一世
蘇東坡,苏轼
孫思邈,孙思邈
吳起,吴起
莊周,庄子
戈巴契夫,米哈伊尔·谢尔盖耶维奇·戈尔巴乔夫
伊麗莎白二世,伊丽莎白二世
黃興,黄兴
里納德·雷根,罗纳德·里根
雷根,罗纳德·里根
孔庆翔,孔慶翔
何秀兰,何秀蘭
大海人皇子,天武天皇
子嬰,子婴
羅伯士比,马克西米连·罗伯斯庇尔
三島由紀夫,三岛由纪夫
陳云,陈云
艾森豪,德怀特·艾森豪威尔
戰俘,战俘
晏嬰,晏婴
昂山素季,翁山蘇姬
田中芳树,田中芳樹
昂山素姬,翁山蘇姬
昂山蘇姬,翁山蘇姬
约翰·F·肯尼迪,约翰·肯尼迪
邱处机,丘处机
苏东坡,苏轼
孫堅,孙坚
孫權,孙权
孫策,孙策
關羽,关羽
趙雲,赵云
張飛,张飞
姜維,姜维
司馬懿,司马懿
希特拉,阿道夫·希特勒
戈尔,阿尔·戈尔
邱逢甲,丘逢甲
夏侯淵,夏侯渊
尼克森,理查德·尼克松
张陵,张道陵
齐奥塞斯库,尼古拉·齐奥塞斯库
尼古拉·齊奧塞斯庫,尼古拉·齐奥塞斯库
裴勇浚,裴勇俊
孫悟空,孙悟空
郑和,鄭和
亚瑟·阿拉法特,亚西尔·阿拉法特
劉備,刘备
黑泽明,黑澤明
司馬遼太郎,司马辽太郎
陈文茜,陳文茜
许信良,許信良
約翰·甘迺迪,约翰·肯尼迪
维根斯坦,路德维希·维特根斯坦
阿拉法,亚西尔·阿拉法特
戴高樂,夏爾·戴高樂
工會,工会
朱利安尼,魯迪·朱利安尼
馬丁路德金,马丁·路德·金
康有為,康有为
陳炯明,陈炯明
汉太祖,刘邦
伊姆霍特普,印何闐
漢太祖,刘邦
李淵,李渊
愛新覺羅福臨,顺治帝
李鵬,李鹏
唐憲宗,唐宪宗
陶吉吉,陶喆
蔡智恒,蔡智恆
理查德·费曼,理查德·費曼
包青天,包拯
四大美人,中国古代四大美女
辛弃疾,辛棄疾
李坤泰,赵一曼
維根斯坦,路德维希·维特根斯坦
史蒂芬·金,斯蒂芬·金
张大千,張大千
鲁迪·朱利亚尼,魯迪·朱利安尼
沙和尚,沙僧
司馬昭,司马昭
胡安·庇隆,胡安·裴隆
哥德尔,库尔特·哥德尔
龟井绘里,龜井繪里
羽柴秀吉,丰臣秀吉
艾奥,伊俄
藤島康介,藤岛康介
弗里达·卡罗,芙烈達·卡蘿
后藤真希,後藤真希
約瑟夫·史達林,斯大林
順治皇帝,顺治帝
顺治皇帝,顺治帝
荊軻,荆轲
晉文公,晋文公
齊桓公,齐桓公
和路迪士尼,華特·迪士尼
史蒂芬·史匹柏,斯蒂芬·斯皮尔伯格
马太,馬太
久石讓,久石让
孙立人,孫立人
载湉,光绪帝
福临,顺治帝
韓非,韩非
图霍夫斯基,库尔特·图霍夫斯基
詹姆士六世 (蘇格蘭),詹姆斯一世 (英格蘭)
詹姆斯一世 (英国),詹姆斯一世 (英格蘭)
詹姆士一世 (英格蘭),詹姆斯一世 (英格蘭)
亚哈沙鲁,薛西斯一世
妙丽,妙麗·格蘭傑
赫敏,妙麗·格蘭傑
罗恩,榮恩·衛斯理
荣恩,榮恩·衛斯理
共工,共工氏
三浦按针,三浦按針
邓丽筠,鄧麗君
严复,嚴復
小儀,阮小儀
李昌镐,李昌鎬
大野洋子,小野洋子
季辛吉,亨利·基辛格
澤克西斯一世,薛西斯一世
罗纳德·雷根,罗纳德·里根
馬默德·阿巴斯,马哈茂德·阿巴斯
波爾布特,波尔布特
陳平 (臺灣),三毛 (作家)
程胡,鍾雲
福澤諭吉,福泽谕吉
弘历,乾隆帝
苻堅,苻坚
柳公权,柳公權
刘渊,劉淵
喬治·奧威爾,乔治·奥威尔
勾踐,勾践
戴卓爾夫人,玛格丽特·撒切尔
哲古華拉,切·格瓦拉
卡爾五世 (神聖羅馬帝國),查理五世 (神圣罗马帝国)
拉賓,伊扎克·拉宾
伏龙芝,米哈伊尔·伏龙芝
歇洛克·福爾摩斯,歇洛克·福尔摩斯
阿嘉莎·克莉絲蒂,阿加莎·克里斯蒂
谢长廷,謝長廷
李奇微,马修·李奇微
赖斯,康多莉扎·赖斯
大乔,大喬
政客,政治人物
长岛茂雄,長嶋茂雄
窩闊台,窝阔台
湯川秀樹,汤川秀树
白痴天才,學者症候群
麥克亞瑟,道格拉斯·麦克阿瑟
麦克阿瑟,道格拉斯·麦克阿瑟
钟云,鍾雲
黄毓民,黃毓民
史太林,斯大林
安潔莉娜·裘莉,安吉丽娜·朱莉
郭子儀,郭子仪
波萊爾,埃米尔·博雷尔
路德维布·维特根斯坦,路德维希·维特根斯坦
史提夫·喬布斯,史蒂夫·乔布斯
松浦亞彌,松浦亚弥
胡蘭成,胡兰成
邵漂萍,邵飘萍
默突舍拉,瑪土撒拉
高樹瑪利亞,高树玛利亚
陆逊,陸遜
王作荣,王作榮
撒切尔,玛格丽特·撒切尔
左字林,左权
愛新覺羅弘曆,乾隆帝
弘曆,乾隆帝
吳爾芙,弗吉尼亚·吴尔夫
愛新覺羅載灃,载沣
載灃,载沣
光緒帝,光绪帝
愛新覺羅載湉,光绪帝
載湉,光绪帝
約翰·克里,约翰·克里
谷壽夫,谷寿夫
韩幌,韓滉
臼井仪人,臼井儀人
田中真纪子,田中真紀子
马基雅弗里,尼可罗·马基亚维利
玻耳茲曼,路德维希·玻尔兹曼
菩提祖師,菩提祖师
尼克遜,理查德·尼克松
阿羅約夫人,格洛丽亚·马卡帕加尔-阿罗约
何鸿燊,何鴻燊
伍德羅·威爾遜,伍德罗·威尔逊
车太贤,車太鉉
富坚义博,冨樫義博
威廉·杰斐逊·克林顿,比尔·克林顿
福臨,顺治帝
清聖祖,康熙帝
愛新覺羅玄燁,康熙帝
宣統帝,溥仪
罗纳德·威尔逊·里根,罗纳德·里根
托马斯·摩尔,托马斯·莫尔
岡村寧次,冈村宁次
玻尔兹曼,路德维希·玻尔兹曼
林登·約翰遜,林登·约翰逊
富蘭克林·羅斯福,富兰克林·德拉诺·罗斯福
富蘭克林·德拉諾·羅斯福,富兰克林·德拉诺·罗斯福
西奧多·羅斯福,西奥多·罗斯福
聶榮臻,聂荣臻
弗吉尼亚·伍尔夫,弗吉尼亚·吴尔夫
埃列娜·齊奧塞斯庫,埃列娜·齐奥塞斯库
约翰·庞德,龐約翰
李英爱,李英愛
梅丽尔·斯特里普,梅麗·史翠普
蔡鍔,蔡锷
伊莉莎伯二世,伊丽莎白二世
依撒格,以撒
易司哈格,以撒
以實瑪利,以实玛利
依市瑪耳,以实玛利
苏哈托,蘇哈托
蘇哈圖,蘇哈托
苏哈图,蘇哈托
郎世宁,郎世寧
李成延,李丞涓
阿斯卡尔·阿卡耶夫,阿斯卡爾·阿卡耶夫
阿卡耶夫,阿斯卡爾·阿卡耶夫
約翰·凱利,约翰·克里
李炳宪,李炳憲
歡兜,驩兜
驩頭,驩兜
楊業,杨业
马基雅弗利,尼可罗·马基亚维利
詹姆斯一世 (英格兰),詹姆斯一世 (英格蘭)
加护亚依,加護亞依
富兰克西斯科·佛朗哥,弗朗西斯科·佛朗哥
富兰克西斯科·皮萨罗,法蘭西斯克·皮澤洛
李顯揚,李显扬
冯·诺依曼,约翰·冯·诺伊曼
克林·鮑威爾,克林·鲍威尔
武雄山,武雄山喬義
鐵血宰相,奥托·冯·俾斯麦
貝尼托·墨索里尼,贝尼托·墨索里尼
赵修业,赵紫阳
梁紅玉,梁红玉
呂不韋,吕不韦
列根,罗纳德·里根
朗奴·列根,罗纳德·里根
朗奴列根,罗纳德·里根
爱新觉罗溥杰,溥傑
卡洛斯一世 (西班牙),查理五世 (神圣罗马帝国)
溥杰,溥傑
關帝,关羽
关公,关羽
姜子牙,太公望
姜太公,太公望
荀况,荀子
张骞,張騫
元宪宗,蒙哥
孔夫子,孔子
奥普拉温芙瑞,奧花·雲費
劳拉·布什,劳拉·威尔士·布什
周志开,周志開
吴越武肃王,钱镠
佛朗哥,弗朗西斯科·佛朗哥
孛儿只斤爱猷识理答腊,元昭宗
孛儿只斤妥欢铁木儿,元順帝
凯斯·哈林,凱斯·哈林
约翰·甘乃迪,约翰·肯尼迪
四大天王 (香港),香港四大天王
吉娃斯阿麗,高金素梅
佐藤榮作,佐藤荣作
葉鐵雄,許不了
井上雄彥,井上雄彦
漢高后,吕雉
谢霆锋,謝霆鋒
查理一世 (西班牙),查理五世 (神圣罗马帝国)
陳嘉庚,陈嘉庚
藤原镰足,藤原鎌足
中臣镰足,藤原鎌足
李纨,李紈
约瑟夫·拉辛尔,本篤十六世
江戶川柯南,江户川柯南
約瑟夫·拉辛格,本篤十六世
顏真卿,颜真卿
伊藤潤二,伊藤润二
若瑟·拉青格,本篤十六世
本笃十六世,本篤十六世
譚嗣同,谭嗣同
拉那烈,諾羅敦·拉那烈
王熙凤,王熙鳳
班傑明·富蘭克林,本傑明·富蘭克林
樋口明日香,樋口明日嘉
谢仁祖,谢尚
诺罗敦·拉那烈,諾羅敦·拉那烈
高锟,高錕
炎皓鐵,印何闐
奥维尔·莱特,莱特兄弟
威尔伯·莱特,莱特兄弟
布特罗斯·布特罗斯-加利,布特羅斯·布特羅斯-蓋里
约瑟夫·拉青格,本篤十六世
李显,唐中宗
魏齐王,曹芳
吳大帝,孙权
清高宗,乾隆帝
昭烈帝,刘备
完顏旻,完颜阿骨打
清德宗,光绪帝
妥欢帖睦尔,元順帝
西澤祐司,西澤裕司
贝当,菲利普·贝当
淨空法師,釋淨空
勞拉·威爾士·布什,劳拉·威尔士·布什
军人节,軍人節
路德维格·维特根斯坦,路德维希·维特根斯坦
狄奥斯库若,狄奧斯庫若
玖辰·派佩爾,约亨·派佩尔
約翰·蘭辛,约翰·兰辛
路德维奇·维特根斯坦,路德维希·维特根斯坦
劉海,刘海
黃忠,黄忠
馬超,马超
二十八将,云台二十八将
孙和,孫和
织田信秀,織田信秀
尼尔森·曼德拉,纳尔逊·曼德拉
連雅堂,連橫 (歷史學家)
赵显,宋恭帝
弗朗西斯科·皮萨罗,法蘭西斯克·皮澤洛
隆納·雷根,罗纳德·里根
孙亮,孫亮
屈平,屈原
杰拉德·福特,杰拉尔德·福特
依扎克·拉宾,伊扎克·拉宾
李銀珠,李恩宙
阿斯卡·阿卡耶夫,阿斯卡爾·阿卡耶夫
S.H.E.,S.H.E
東漢和帝鄧皇后,和熹皇后
汜胜之,氾勝之
高健龙,高健龍
米哈伊尔·萨卡什维利,米哈伊爾·薩卡什維利
黃金輝,黄金辉
沙卡什維利,米哈伊爾·薩卡什維利
明哲,柯旗化
会稽王,孫亮
张苍水,张煌言
乔治·雅克·丹东,乔治·雅克·丹敦
阿羅約,格洛丽亚·马卡帕加尔-阿罗约
艾若育,格洛丽亚·马卡帕加尔-阿罗约
艾若育夫人,格洛丽亚·马卡帕加尔-阿罗约
阿罗约夫人,格洛丽亚·马卡帕加尔-阿罗约
蒂姆·波顿,蒂姆·伯顿
張自忠,张自忠
葉爾欽,鲍里斯·尼古拉耶维奇·叶利钦
南帝,段智興
中神通,王重陽
呂后,吕雉
地皇炎帝,炎帝
文宣王,孔子
菲利普二世 (西班牙),腓力二世 (西班牙)
菲利浦二世 (西班牙),腓力二世 (西班牙)
蒼頡,仓颉
轩辕黄帝,黄帝
鉴真,鑒真
費利克斯·豪斯道夫,费利克斯·豪斯多夫
宮崎駿,宫崎骏
至聖,孔子
斐迪南大公,弗朗茨·斐迪南大公
卢西乌斯·苏拉,卢基乌斯·科尔内利乌斯·苏拉
阿倍仲麻吕,阿倍仲麻呂
約翰·羅納德·瑞爾·托爾金,J·R·R·托尔金
朱利烏斯·凱撒,尤利烏斯·凱撒
彼得武,北野武
圣格列高利 (启蒙者),格列高利 (启蒙者)
宝儿,寶兒
拉玛九世,普密蓬·阿杜德
亨桑林,韓桑林
梁爱诗,梁愛詩
亚基亚德王朝,亚基亚德世系
亚基亚德家族,亚基亚德世系
卡尔一世 (奥匈帝国),卡爾一世 (奧匈帝國)
查理一世 (奥匈帝国),卡爾一世 (奧匈帝國)
神農氏,神农
喬治六世,乔治六世
齊太公,太公望
捷·古華拉,切·格瓦拉
捷·古华拉,切·格瓦拉
埃内斯托·拉斐尔·格瓦拉,切·格瓦拉
古華拉,切·格瓦拉
古华拉,切·格瓦拉
艾森豪威尔总统,德怀特·艾森豪威尔
挪亚,挪亞
理察·尼克森,理查德·尼克松
哈玛绍,达格·哈马舍尔德
乔治·卡特利特·马歇尔,乔治·卡特莱特·马歇尔
瑪竇,馬太
乡广美,乡裕美
宇宙的人,博学家
蒋方震,蔣百里
贝利萨留,贝利撒留
霍梅尼,鲁霍拉·穆萨维·霍梅尼
毛主席,毛泽东
乔治·马歇尔,乔治·卡特莱特·马歇尔
乔治·卡特里克·马歇尔,乔治·卡特莱特·马歇尔
世宗 (朝鮮王),朝鮮世宗
杰弗里·豪,賀維
爱新觉罗·溥杰,溥傑
盖乌斯·尤利乌斯·恺撒,尤利烏斯·凱撒
刘铭传,劉銘傳
保大皇帝,保大帝
马基亚维里,尼可罗·马基亚维利
胡適之,胡適
沃尔福威茨,保罗·沃尔福威茨
H·G·威尔斯,赫伯特·乔治·威尔斯
诺亚,挪亞
諾亞,挪亞
華陀,华佗
林延年,神奈延年
伊莉莎白二世,伊丽莎白二世
伊莉莎白二世 (英國),伊丽莎白二世
陳舜臣,陈舜臣
汪兆铭,汪精卫
陳友諒,陈友谅
摩阿布族,摩押人
丰子恺,豐子愷
秦越人,扁鹊
一灯,段智興
清恭宗,溥仪
隆美尔,埃尔温·隆美尔
基拉,基拉·大和
尼科罗·马基雅弗利,尼可罗·马基亚维利
弗朗西斯科·佛郎哥,弗朗西斯科·佛朗哥
聖母馬利亞,馬利亞 (耶穌的母親)
爱猷识理达腊,元昭宗
宣仁太后,宣仁皇后
梅克爾,安格拉·默克爾
武田晴信,武田信玄
考特·柯本,科特·柯本
圣彼得,西門彼得
后藤久美子,後藤久美子
懿律,乔治·懿律
义律,查理·义律
查爾斯·林白,查爾斯·林德伯格
缅甸联邦总理,緬甸總理
弗朗茨·斐迪南,弗朗茨·斐迪南大公
中國女排,中國國家女子排球隊
中華人民共和國女子排球隊,中國國家女子排球隊
费曼,理查德·費曼
德克勒克,弗雷德里克·威廉·戴克拉克
契尔年科,康斯坦丁·乌斯季诺维奇·契尔年科
康斯坦丁·契尔年科,康斯坦丁·乌斯季诺维奇·契尔年科
唐太祖,李虎
唐光帝,李天錫
安托万·拉瓦锡,安托万-洛朗·德·拉瓦锡
黑田官兵卫,黑田孝高
圣母玛丽亚,馬利亞 (耶穌的母親)
加里寧,米哈伊尔·伊万诺维奇·加里宁
馬林可夫,康斯坦丁·乌斯季诺维奇·契尔年科
格奥尔基·马林科夫,格奥尔基·马克西米利安诺维奇·马林科夫
格奥尔基·马克西米连诺维奇·马林科夫,格奥尔基·马克西米利安诺维奇·马林科夫
宇文黑獺,宇文泰
阮高其,阮高祺
律政司司長,香港特別行政區律政司司長
金兀朮,兀术
池脅千鶴,池脇千鶴
海抡,海伦 (神话)
郭尚勋,郭尚勳
纳尔逊,霍雷肖·纳尔逊，第一代纳尔逊子爵
耶稣的母亲玛丽亚,馬利亞 (耶穌的母親)
赫底彻,海迪彻
阿以莎,阿伊莎
季米特里·萧斯塔科维奇,德米特里·德米特里耶维奇·肖斯塔科维奇
伍爾芙,弗吉尼亚·吴尔夫
伊莉沙白二世,伊丽莎白二世
乔治·W·布什,乔治·沃克·布什
静安先生,王国维
上卷先生,胡適
林登·约翰森,林登·约翰逊
詹姆士·卡特,吉米·卡特
史蒂芬·史匹伯,斯蒂芬·斯皮尔伯格
湖衣姬,諏訪御料人
阿布·马赞,马哈茂德·阿巴斯
淀君,淀殿
熱比婭,热比娅·卡德尔
努尔苏丹·阿比舍维奇·纳扎尔巴耶夫,努尔苏丹·纳扎尔巴耶夫
本杰明·弗兰克林,本傑明·富蘭克林
范徐丽泰,范徐麗泰
弗里德里希·威廉·尼采,弗里德里希·尼采
赫敏·格兰杰,妙麗·格蘭傑
罗恩·韦斯莱,榮恩·衛斯理
亚利山大大帝,亚历山大大帝
阿德里安娜·克拉克森,伍冰枝
子思,孔伋
徐世勣,李世勣
鱄诸,专诸
麥教授,米奈娃·麥
恺撒大帝,尤利烏斯·凱撒
米勒娃·麦格,米奈娃·麥
司马丕,晉哀帝
司馬德宗,晋安帝
聯合王國的喬治六世,乔治六世
安吉莉娜·裘莉,安吉丽娜·朱莉
聖母瑪莉亞,馬利亞 (耶穌的母親)
馬庫色,赫伯特·马尔库塞
宫崎峻,宫崎骏
爱新觉罗·弘历,乾隆帝
吴尔凯西,吾尔开希
公孫鞅,商鞅
詹姆斯·邦德,占士邦
曼施坦因,埃里希·冯·曼施坦因
艾伯特·弗雷德里克·阿瑟·喬治·溫莎,乔治六世
越王勾踐,勾践
肖劲光,萧劲光
關雲長,关羽
曹孟德,曹操
刘玄德,刘备
肖斯塔柯维奇,德米特里·德米特里耶维奇·肖斯塔科维奇
夸父追日,夸父
阿巴多,克劳迪奥·阿巴多
刘操,刘海
刘海蟾,刘海
豬悟能,猪八戒
沙悟净,沙僧
爱新觉罗·福临,顺治帝
老布殊,乔治·赫伯特·沃克·布什
老布什,乔治·赫伯特·沃克·布什
苏丹·伊本·阿卜杜勒·阿齐兹,苏尔坦·本·阿卜杜勒-阿齐兹·阿勒沙特
亚历山大·杜布切克,亞歷山大·杜布切克
米歇尔·琼,庄美楷
邵闻泰,邵力子
米歇爾·吉,庄美楷
克勞迪歐·阿巴多,克劳迪奥·阿巴多
绫濑遥香,綾瀨遙
闵子骞,闵损
圣伯铎,西門彼得
真田幸村,真田信繁
单衣顺母,闵损
冉有,冉求
唐哀宗,唐哀帝
清逊帝,溥仪
亞歷山太的亞歷山大,亞歷山大一世 (亞歷山大宗主教)
仲弓,冉雍
張飛燕,張燕 (東漢)
嬴扶苏,扶苏
黄茂金,黄茂银
曾子城,曾国藩
曾伯函,曾国藩
启蒙者格列高利,格列高利 (启蒙者)
程知节,程咬金
朴赞郁,朴贊郁
易卜拉辛,亞伯拉罕
尔萨,爾撒
拜巴尔斯一世,拜巴尔一世
邓不利多,阿不思·鄧不利多
痞子蔡,蔡智恆
門徒約翰,約翰 (使徒)
贝巴尔一世,拜巴尔一世
贝巴尔斯一世,拜巴尔一世
北政所,高台院
纳尔逊勋爵,霍雷肖·纳尔逊，第一代纳尔逊子爵
伊達五郎八,五郎八姬
阿卡汗三世,阿迦汗三世
聖安得魯,安得烈
聖安得烈,安得烈
聖安德肋,安得烈
西比尔·特丽劳妮,西碧·崔老妮
西弗勒斯·斯内普,賽佛勒斯·石內卜
莱姆斯·卢平教授,雷木思·路平
雷木思·路平教授,雷木思·路平
莱姆斯·J·卢平,雷木思·路平
米勒瓦·麦格,米奈娃·麥
鲁伯·海格,魯霸·海格
阿拉伯的劳伦斯,托马斯·爱德华·劳伦斯
米萨姆,埃里希·米萨姆
张果,張果老
哈桑·阿里-沙阿,阿迦汗一世
布特罗斯·布特罗斯·加利,布特羅斯·布特羅斯-蓋里
加利,布特羅斯·布特羅斯-蓋里
亞流,阿利烏
佛蘭克林·羅斯福,富兰克林·德拉诺·罗斯福
夏洛克·福尔摩斯,歇洛克·福尔摩斯
舍洛克·福尔摩斯,歇洛克·福尔摩斯
埃里·万斯,伊莱·凡斯
惠美押勝,藤原仲麻吕
皮拉斯,皮洛士
J.R.R.托爾金,J·R·R·托尔金
次雅各伯,雅各 (亞勒腓的兒子)
勒腓的兒子雅各,雅各 (亞勒腓的兒子)
多里·米勒,多里斯·米勒
盤古氏,盘古
杜阿尔特三世,杜瓦尔特·皮奥
奧斯卡·舒特拉,奧斯卡·辛德勒
迪米特里·肖斯塔科维奇,德米特里·德米特里耶维奇·肖斯塔科维奇
梅瑟,摩西
易斯玛仪,以实玛利
刘辩,劉辯
晋世祖,司馬炎
约翰·豪尔,约翰·霍尔
長尾景虎,上杉謙信
陈靖姑,臨水夫人
崢縑德,釋廣德
壳庭琰,吳廷琰
乔治·威赫,乔治·维阿
